simas_id,name,tipologi,founded_year,address,latitude,longitude,luas_tanah,status_tanah,luas_bangunan,daya_tampung_jamaah,jumlah_pengurus,jumlah_imam,jumlah_khatib,jumlah_muazin,jumlah_remaja_masjid,facilities,activities,image_url,detail_url
01.4.03.17.03.000001,JAMIK AUR KUNING,Masjid Jami,1920,"Jl. Prof. M. Yamin, SH, Aur Kuning | Aur Birugo Tigo Baleh | , Kota Bukittinggi | Sumatera Barat",-0.32123522543304,100.38575595652,5.800 | m2,Wakaf,625 | m2,1.000,12,2,2,2,80,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Penyejuk Udara/AC"",""Kantor Sekretariat"",""Perpustakaan"",""Perlengkapan Pengurusan Jenazah"",""Ruang Belajar (TPA/Madrasah)"",""Tempat Penitipan Sepatu/Sandal"",""Gudang"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan Pengajian Rutin"",""Menyelenggarakan kegiatan pendidikan (TPA, Madrasah, Pusat Kegiatan Belajar Masyarakat)"",""Pemberdayaan Zakat, Infaq, Shodaqoh dan Wakaf""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/masjid/01.4.03.17.03.000001
01.6.03.17.01.000025,RAYA,Masjid di Tempat Publik,1946,"Jl. Minagkabau Pasar Atas | Guguak Panjang | , Kota Bukittinggi | Sumatera Barat",-0.30287363140378,100.36968290806,0 | m2,Wakaf,0 | m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Penyejuk Udara/AC"",""Kantor Sekretariat"",""Ruang Belajar (TPA/Madrasah)"",""Tempat Penitipan Sepatu/Sandal""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan Pengajian Rutin"",""Menyelenggarakan kegiatan pendidikan (TPA, Madrasah, Pusat Kegiatan Belajar Masyarakat)"",""Pemberdayaan Zakat, Infaq, Shodaqoh dan Wakaf""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.01.000025
01.6.03.17.01.000028,IKHWAN,Masjid di Tempat Publik,1964,"Jl. Panorama | Guguak Panjang | , Kota Bukittinggi | Sumatera Barat",-0.30714632982103,100.36441907287,0 | m2,Wakaf,0 | m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu""]",[],https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.01.000028
01.6.03.17.01.000030,AL-ABRAR,Masjid di Tempat Publik,1973,"Komp. RSAM | Guguak Panjang | , Kota Bukittinggi | Sumatera Barat",-0.29961345140824,100.36625772715,0 | m2,Wakaf,0 | m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu""]",[],https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.01.000030
01.6.03.17.01.000031,NUR IMAN,Masjid di Tempat Publik,2008,"Bukik Apik Lapau Batu | Guguak Panjang | , Kota Bukittinggi | Sumatera Barat",-0.29354905807484,100.35105630755,0 | m2,Wakaf,0 | m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Sound System dan Multimedia"",""Ruang Belajar (TPA/Madrasah)""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan kegiatan pendidikan (TPA, Madrasah, Pusat Kegiatan Belajar Masyarakat)"",""Pemberdayaan Zakat, Infaq, Shodaqoh dan Wakaf""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.01.000031
01.6.03.17.01.000032,DARUL IKHLAS,Masjid di Tempat Publik,2006,"Jl. Pemuda | Guguak Panjang | , Kota Bukittinggi | Sumatera Barat",-0.29936937372236,100.37052512169,0 | m2,Wakaf,0 | m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu""]",[],https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.01.000032
01.6.03.17.01.000033,NURUL IKHLAS,Masjid di Tempat Publik,2000,"Jl. By Pass Pasar Sayur | Guguak Panjang | , Kota Bukittinggi | Sumatera Barat",-0.31318255276003,100.38794606924,0 | m2,Wakaf,0 | m2,0,3,1,4,1,20,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Pemberdayaan Zakat, Infaq, Shodaqoh dan Wakaf""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.01.000033
01.6.03.17.01.000035,MUBARAK,Masjid di Tempat Publik,1970,"Jl. Stasiun | Guguak Panjang | , Kota Bukittinggi | Sumatera Barat",-0.29113644247137,100.35461425781,0 | m2,Wakaf,0 | m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu""]",[],https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.01.000035
01.6.03.17.03.000012,BAITUL AMIN,Masjid di Tempat Publik,2007,"Jl. Jendral Sudirman Asrama Polres Bukittinggi | Aur Birugo Tigo Baleh | , Kota Bukittinggi | Sumatera Barat",-0.31695622966787,100.37407533833,625 | m2,SHM,289 | m2,300,7,2,9,2,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Penyejuk Udara/AC"",""Kantor Sekretariat"",""Perpustakaan"",""Perlengkapan Pengurusan Jenazah"",""Ruang Belajar (TPA/Madrasah)"",""Tempat Penitipan Sepatu/Sandal"",""Gudang"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan Pengajian Rutin"",""Pemberdayaan Zakat, Infaq, Shodaqoh dan Wakaf""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.03.000012
01.6.03.17.03.000013,TANGAH JUA,Masjid di Tempat Publik,2007,"Gg. Tomat | Aur Kuning | Kec. Aur Birugo Tigo Baleh | Kota Bukittinggi, Sumatera Barat 26181, Indonesia | Aur Birugo Tigo Baleh | , Kota Bukittinggi | Sumatera Barat",-0.31626302333995,100.38196206093,1.476 | m2,Girik,1.072 | m2,1.000,48,1,1,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Penyejuk Udara/AC"",""Kantor Sekretariat"",""Perpustakaan"",""Perlengkapan Pengurusan Jenazah"",""Gudang"",""Taman"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Sholat Jumat"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan Pengajian Rutin""]",https://simas.kemenag.go.id/image/masjid-image/3/73/867/01.6.03.17.03.000013/45aee5dbccbbd21e93c79a9d25355a4e.jpg,https://simas.kemenag.go.id/profil/masjid/01.6.03.17.03.000013
