simas_id,name,tipologi,founded_year,address,latitude,longitude,luas_tanah,status_tanah,luas_bangunan,daya_tampung_jamaah,jumlah_pengurus,jumlah_imam,jumlah_khatib,jumlah_muazin,jumlah_remaja_masjid,facilities,activities,image_url,detail_url
02.1.03.17.03.000003,DARUL WUSTHA,Mushalla di tempat Publik,1985,"JL. M.Yamin, SH | Aur Birugo Tigo Baleh, Kota Bukittinggi | Sumatera Barat",-1.8014609294680355,116.1474609375,192 m2,Wakaf,117 m2,80,3,1,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Pembangkit Listrik/Genset"",""Penyejuk Udara/AC""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Kegiatan Hari Besar Islam""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.03.000003
02.1.03.17.03.000005,RIYADHUS SHALIHIIN,Mushalla di tempat Publik,2011,"GG.CEMARA RT 01/RW 01 | Aur Birugo Tigo Baleh, Kota Bukittinggi | Sumatera Barat",-0.3153370047436853,100.3806296736002,150 m2,Girik,150 m2,100,20,3,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Sound System dan Multimedia"",""Ruang Belajar (TPA/Madrasah)"",""Gudang"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan kegiatan pendidikan (TPA, Madrasah, Pusat Kegiatan Belajar Masyarakat)""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.03.000005
02.1.03.17.03.000006,DARUSSALAM,Mushalla di tempat Publik,1999,"JL.Prof.M.Yamin, SH No.01 | Aur Birugo Tigo Baleh, Kota Bukittinggi | Sumatera Barat",-0.3181995485657704,100.38541674613953,100 m2,Girik,90 m2,110,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Perlengkapan Pengurusan Jenazah"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.03.000006
02.1.03.17.02.000022,HOTEL CAMPAGO,Mushalla di tempat Publik,2005,"Inkorba | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.8014609294680355,116.1474609375,0 m2,SHM,60 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000022
02.1.03.17.02.000024,RM DANGAU GON RAYA LAMA,Mushalla di tempat Publik,2007,"Jl.By Pass Anak Air | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.8014609294680355,116.1474609375,0 m2,SHM,30 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000024
02.1.03.17.02.000026,AL-IKHLAS,Mushalla di tempat Publik,0,"Jl.Pintu Kabun | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.8014609294680355,116.1474609375,0 m2,SHM,0 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000026
02.1.03.17.02.000029,JABAL NUR,Mushalla di tempat Publik,0,"Jl.Bukit Umpang Umpang | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.8014609294680355,116.1474609375,0 m2,SHM,0 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000029
02.1.03.17.02.000031,AL-IKHLAS,Mushalla di tempat Publik,0,"Jl.Kirab Remaja | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.8014609294680355,116.1474609375,0 m2,Wakaf,0 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000031
02.1.03.17.02.000032,ASH-SHABIRIN,Mushalla di tempat Publik,0,"Jl.Kirab Remaja | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.8014609294680355,116.1474609375,0 m2,Wakaf,0 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000032
02.1.03.17.02.000033,BAITURRAHMAN,Mushalla di tempat Publik,0,"Jl.Pemuda | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.8014609294680355,116.1474609375,0 m2,Wakaf,0 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000033
02.1.03.17.02.000035,AL-MUNAWWARAH,Mushalla di tempat Publik,0,"Jl.Kampung Pulasan | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.8014609294680355,116.1474609375,0 m2,Wakaf,0 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000035
